DT,OPEN,HIGH,LOW,CLOSE,AMT,CLOSE多头排列信号,CLOSE空头排列信号,CLOSE_RSI2>80,CLOSE_RSI2<20,CLOSE_RSI3>80,CLOSE_RSI3<20,CLOSE_RSI14>80,CLOSE_RSI14<20,CLOSE_aboveMA5,CLOSE_aboveMA10,CLOSE_aboveMA40,CLOSE_aboveMA200,神奇九转_高9,神奇九转_低9,bband_up_break,bband_down_break,Dir,Value,found,近60bar最大下行超10,低点抬高,大阳线,大阴线,上涨3,下跌3,当前K线低点>昨天低点,当前K线高点>昨天高点,当前K线开盘介于昨天开盘和收盘之间,阳线,阴线,收盘明显高于最低,明显下引线,跳空后缺口不封闭,当前K线最高价<长下引线阴线最高价,当前K线最低价<长下引线阴线后所有线最低价,连续3天以上阴线且最高最低下移,长下引线阴线后所有线最高价<前一根最高价,长下引线阴线后第二根线最低价>下引线最低价,检测到低点后高点到低点下降10,检测到低点后当前点高于最低点,检测到低点后当前点被前高支撑,检测到低点后和前最低点靠近,检测到低点后除去最低后还有相近低点,检测到低点后除去最低后还有2上相近低点,检测到低点后当前低点在之前的下引线附近,检测到低点后高点在之前最低点的左侧,检测到低点后和前最低相隔>=5K线,检测到低点后和前最低相隔>=10K线
2015-12-29,224.39,224.98,223.86,224.74,13729845940,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,,,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2015-12-30,224.3,225.16,224.12,224.3,7870804620,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2015-12-31,224.02,224.2,222.4,222.99,12861571540,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,,,,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-01-04,223.78,224.96,223.2,224.62,8503430080,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,,,,True,True,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-01-05,225.22,227.23,225.17,226.56,15521505980,True,False,True,False,False,False,False,False,True,True,True,False,False,False,True,False,,,,True,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-01-06,227.0,228.55,225.93,228.14,17206730320,True,False,True,False,True,False,False,False,True,True,True,False,False,False,True,False,,,,True,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-01-07,229.2,234.54,229.0,233.1,29395651700,True,False,True,False,True,False,False,False,True,True,True,True,False,False,True,False,,,,False,False,True,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-01-08,233.5,235.26,233.18,233.37,21258871540,True,False,True,False,True,False,False,False,True,True,True,True,False,False,True,False,,,,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-01-11,233.21,235.0,232.28,234.75,21760365420,True,False,True,False,True,False,False,False,True,True,True,True,False,False,True,False,,,,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-01-12,234.15,234.4,231.45,232.35,16319827360,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,,,,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
